SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
24	2207	277355	267673
0	2208	33130	18224
13	2208	278888	269763
14	2208	266265	256521
15	2208	228255	220513
16	2208	236221	228100
17	2208	227538	219678
18	2208	249047	240276
19	2208	244115	235221
20	2208	238259	229656
21	2208	228011	218655
22	2208	230363	221518
23	2208	267147	257380
24	2208	279402	269319
0	2209	33220	17936
13	2209	281913	272367
14	2209	267877	257665
15	2209	229921	222004
16	2209	237858	229350
17	2209	228154	219673
18	2209	251177	241997
19	2209	246349	237127
20	2209	239663	230825
21	2209	230491	220629
22	2209	232276	223086
23	2209	269216	259099
24	2209	282145	271513
0	2210	34768	18421
13	2210	289189	278709
14	2210	274266	263231
15	2210	235163	226412
16	2210	243886	234675
17	2210	235266	226274
18	2210	258599	248693
19	2210	251443	241211
20	2210	244661	235005
21	2210	236913	226242
22	2210	237569	227570
23	2210	276677	265286
24	2210	287755	276364
0	2211	35645	18434
13	2211	292898	281797
14	2211	277486	265702
15	2211	238967	229689
16	2211	246032	236168
17	2211	238033	228319
18	2211	260820	250405
19	2211	253920	243265
20	2211	247847	237545
21	2211	238660	227478
22	2211	239751	229012
23	2211	278779	266596
24	2211	291315	278826
0	2212	36580	18361
13	2212	294841	283582
14	2212	278997	267013
15	2212	240384	230989
16	2212	247773	237844
17	2212	240179	230341
18	2212	263642	252973
19	2212	254653	243853
20	2212	249457	238922
21	2212	240795	229641
22	2212	239944	228941
23	2212	279331	267162
24	2212	291936	279445
0	2213	37031	18261
13	2213	297726	285915
14	2213	279589	267209
15	2213	241653	231771
16	2213	249327	238712
17	2213	241413	231310
18	2213	265186	253951
19	2213	256386	245011
20	2213	250813	240057
21	2213	242121	230343
22	2213	242027	230695
23	2213	281134	268505
24	2213	294436	281215
0	2214	38553	18137
13	2214	299212	286452
14	2214	281559	268328
15	2214	243718	233021
16	2214	250173	239100
17	2214	243419	232811
18	2214	266475	254880
19	2214	257477	245475
20	2214	252670	240961
21	2214	243435	231095
22	2214	243418	231275
23	2214	283055	269803
24	2214	296109	282410
0	2215	40302	18936
13	2215	299782	286471
14	2215	281790	268285
15	2215	245283	234217
16	2215	251581	240049
17	2215	244429	233144
18	2215	268121	255556
19	2215	259630	247028
20	2215	254271	241980
21	2215	244515	231339
22	2215	244518	231886
23	2215	285323	271050
24	2215	298648	283979
0	2216	40539	18310
13	2216	300138	285895
14	2216	284382	270302
15	2216	245104	233662
16	2216	254038	241841
17	2216	244590	232954
18	2216	268157	254911
19	2216	261526	248334
20	2216	255691	242655
21	2216	244725	230895
22	2216	245795	232408
23	2216	286391	271616
24	2216	300163	284827
0	2301	36512	21019
13	2301	267573	258534
14	2301	258284	248917
15	2301	219962	212475
16	2301	227867	220078
17	2301	217034	208744
18	2301	239629	231244
19	2301	237428	228754
20	2301	228891	220552
21	2301	219279	209275
22	2301	222677	213907
23	2301	259695	250050
24	2301	270228	260630
0	2302	34301	19910
13	2302	269647	260914
14	2302	260015	250547
15	2302	221003	213570
16	2302	229592	222038
17	2302	218860	210955
18	2302	239874	231731
19	2302	238810	230536
20	2302	230107	222008
21	2302	220128	210785
22	2302	223653	215292
23	2302	261343	251854
24	2302	272659	263217
0	2303	33524	19423
13	2303	270865	262151
14	2303	259804	250511
15	2303	222363	214888
16	2303	230869	223136
17	2303	220088	212252
18	2303	241943	233789
19	2303	238974	230489
20	2303	231137	223289
21	2303	222741	213682
22	2303	223969	215562
23	2303	261829	252454
24	2303	274160	264745
0	2304	33879	19714
13	2304	273563	264783
14	2304	262330	253026
15	2304	223689	216360
16	2304	232774	224872
17	2304	221435	213481
18	2304	243614	235202
19	2304	240933	232523
20	2304	233428	225391
21	2304	223889	214962
22	2304	226626	218063
23	2304	264377	254846
24	2304	275101	265504
0	2305	33406	19179
13	2305	275428	266503
14	2305	262864	253586
15	2305	225460	218097
16	2305	232867	225015
17	2305	222488	214618
18	2305	244518	236033
19	2305	241925	233295
20	2305	234195	225924
21	2305	225530	216387
22	2305	228350	219575
23	2305	265074	255692
24	2305	276971	267182
0	2306	33119	18712
13	2306	277655	268333
14	2306	265456	255651
15	2306	227458	219765
16	2306	234987	226596
17	2306	225670	217506
18	2306	246819	238215
19	2306	243305	234376
20	2306	235352	226942
21	2306	227438	217943
22	2306	229015	220013
23	2306	267377	257490
24	2306	279028	268777
0	2307	32489	18397
13	2307	279455	269963
14	2307	267065	256924
15	2307	229764	221965
16	2307	236785	228387
17	2307	227499	219056
18	2307	249847	240869
19	2307	245870	236794
20	2307	238365	229371
21	2307	229689	219908
22	2307	231141	221944
23	2307	269121	258939
24	2307	281533	270996
0	2308	33190	18273
13	2308	284020	273934
14	2308	272405	261742
15	2308	233078	224633
16	2308	240942	231903
17	2308	231235	222421
18	2308	253522	244175
19	2308	248288	238688
20	2308	241772	232336
21	2308	232668	222642
22	2308	233716	223884
23	2308	272533	261790
24	2308	285712	274731
0	2309	34017	18507
13	2309	290416	279753
14	2309	275520	264586
15	2309	236559	227903
16	2309	245126	235789
17	2309	234508	225533
18	2309	259673	249821
19	2309	252474	242459
20	2309	246406	236558
21	2309	238141	227406
22	2309	237705	227437
23	2309	276470	265382
24	2309	290108	278388
0	2310	35225	18506
13	2310	294252	282823
14	2310	278169	266200
15	2310	240517	231050
16	2310	246899	236733
17	2310	237785	227936
18	2310	262147	251276
19	2310	255215	244261
20	2310	248178	237441
21	2310	240107	228719
22	2310	240593	229798
23	2310	279309	267031
24	2310	292225	279702
0	2311	36708	18705
13	2311	297545	285526
14	2311	281085	268576
15	2311	243261	233321
16	2311	250244	239658
17	2311	241364	231036
18	2311	265362	253947
19	2311	257490	246011
20	2311	251888	240737
21	2311	243728	231502
22	2311	242094	230560
23	2311	283117	270274
24	2311	295728	282566
0	2312	37610	19100
13	2312	301709	288891
14	2312	283569	270312
15	2312	245144	234627
16	2312	252455	241181
17	2312	243998	232977
18	2312	270098	258141
19	2312	259477	247406
20	2312	255099	243317
21	2312	244918	232492
22	2312	246068	233877
23	2312	284442	271019
24	2312	298610	284541
0	2313	37642	18781
13	2313	302919	289902
14	2313	284188	270590
15	2313	246362	235386
16	2313	252934	241271
17	2313	245562	234302
18	2313	269515	257307
19	2313	260537	248402
20	2313	255564	243455
21	2313	246992	234151
22	2313	246929	234469
23	2313	285534	271485
24	2313	301345	287123
0	2314	39197	18639
13	2314	305959	292011
14	2314	287140	273051
15	2314	248650	237432
16	2314	255528	243483
17	2314	246288	234890
18	2314	271374	258830
19	2314	262308	249414
20	2314	257649	245115
21	2314	247317	234016
22	2314	249193	236239
23	2314	289092	274624
24	2314	302092	287028
0	2315	41408	19227
13	2315	306326	291469
14	2315	286148	271302
15	2315	249502	237302
16	2315	256017	243309
17	2315	248363	235913
18	2315	271788	257877
19	2315	263057	249332
20	2315	258673	244910
21	2315	248529	234224
22	2315	249232	235295
23	2315	289552	273933
24	2315	304493	288287
0	2316	40663	18493
13	2316	305192	289972
14	2316	286698	271502
15	2316	249416	236848
16	2316	256256	243366
17	2316	248931	236172
18	2316	271989	257805
19	2316	263540	249553
20	2316	258058	243888
21	2316	247934	233169
22	2316	250040	235516
23	2316	289763	273926
24	2316	304879	288179
